Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoInsurance.Common\ContosoInsurance.Common.csproj,File,ContosoInsurance.Common\ContosoInsurance.Common.csproj,,,Newtonsoft.Json 11.0.2,,,,,"Newtonsoft.Json, 11.0.2  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,ContosoInsurance.Common\ContosoInsurance.Common.csproj,File,ContosoInsurance.Common\ContosoInsurance.Common.csproj,,,Newtonsoft.Json 11.0.2,,,,,"Newtonsoft.Json, 11.0.2  Recommendation:  Newtonsoft.Json, 13.0.4"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,ContosoInsurance.Common\ContosoInsurance.Common.csproj,File,ContosoInsurance.Common\ContosoInsurance.Common.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ContosoInsurance.Common\ContosoInsurance.Common.csproj,File,ContosoInsurance.Common\ContosoInsurance.Common.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.6.1 Recommended target framework: net9.0"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoInsurance.Common\ContosoInsurance.Common.csproj,File,ContosoInsurance.Common\Config\ConfigHelper.cs,22,12,P:System.Configuration.ConnectionStringSettings.ConnectionString,,,,,return cs.ConnectionString;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoInsurance.Common\ContosoInsurance.Common.csproj,File,ContosoInsurance.Common\Config\ConfigHelper.cs,20,16,T:System.Configuration.ConfigurationErrorsException,,,,,"throw new ConfigurationErrorsException(                      ""Missing connection string '"" + name + ""'. Check Web.config / App.config."");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoInsurance.Common\ContosoInsurance.Common.csproj,File,ContosoInsurance.Common\Config\ConfigHelper.cs,20,16,M:System.Configuration.ConfigurationErrorsException.#ctor(System.String),,,,,"throw new ConfigurationErrorsException(                      ""Missing connection string '"" + name + ""'. Check Web.config / App.config."");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoInsurance.Common\ContosoInsurance.Common.csproj,File,ContosoInsurance.Common\Config\ConfigHelper.cs,18,12,T:System.Configuration.ConfigurationManager,,,,,var cs = ConfigurationManager.ConnectionStrings[name];
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoInsurance.Common\ContosoInsurance.Common.csproj,File,ContosoInsurance.Common\Config\ConfigHelper.cs,18,12,T:System.Configuration.ConnectionStringSettingsCollection,,,,,var cs = ConfigurationManager.ConnectionStrings[name];
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoInsurance.Common\ContosoInsurance.Common.csproj,File,ContosoInsurance.Common\Config\ConfigHelper.cs,18,12,P:System.Configuration.ConfigurationManager.ConnectionStrings,,,,,var cs = ConfigurationManager.ConnectionStrings[name];
